"status","diet","common.name","year","N"
"migrant",NA,"Merlin",1973,NA
"migrant",NA,"Bicknell's Thrush",1973,NA
"migrant",NA,"Ovenbird",1973,NA
"migrant",NA,"Worm-eating Warbler",1973,3
"migrant",NA,"Northern Waterthrush",1973,NA
"migrant",NA,"Blue-winged Warbler",1973,NA
"migrant",NA,"Black-and-white Warbler",1973,5
"migrant",NA,"Prothonotary Warbler",1973,NA
"migrant",NA,"Swainson's Warbler",1973,NA
"migrant",NA,"Kentucky Warbler",1973,NA
"migrant",NA,"Hooded Warbler",1973,NA
"migrant",NA,"American Redstart",1973,6
"migrant",NA,"Cape May Warbler",1973,NA
"migrant",NA,"Northern Parula",1973,NA
"migrant",NA,"Magnolia Warbler",1973,NA
"migrant",NA,"Black-throated Blue Warbler",1973,NA
"migrant",NA,"Prairie Warbler",1973,NA
"migrant",NA,"Baltimore Oriole",1973,NA
"migrant",NA,"Indigo Bunting",1973,NA
"migrant",NA,"Rose-breasted Grosbeak",1973,NA
"resident","Frugivores","Zenaida Dove",1973,0
"resident","Frugivores","Common Ground-dove",1973,16
"resident","Frugivores","Key West Quail Dov",1973,0
"resident","Frugivores","Pearly-eyed Thrasher",1973,4
"resident","Frugivores","Red-legged Thrush",1973,2
"resident","Frugivores","Antillean Euphonia",1973,0
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",1973,6
"resident","Frugivores","Puerto Rican Bullfinch",1973,22
"resident","Frugivores","Black-faced Grassquit",1973,6
"resident","Frugivores","Yellow-faced Grassquit",1973,0
"resident","Frugivores","Northern Mockingbird",1973,0
"resident","Nectarivores","Antillean Mango",1973,3
"resident","Nectarivores","Puero Rican Emerald",1973,0
"resident","Nectarivores","Bananaquit",1973,53
"resident","Insectivores-Gleaners","Mangrove Cuckoo",1973,0
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1973,1
"resident","Insectivores-Gleaners","Puerto Rican Vireo",1973,4
"resident","Insectivores-Gleaners","Adelaide's Warbler",1973,5
"resident","Insectivores-Gleaners","Black-cowled Oriole",1973,1
"resident","Insectivores-Gleaners","Troupial",1973,4
"resident","Insectivores-Flycatchers","Gray Kingbird",1973,0
"resident","Insectivores-Flycatchers","Puero Rican Flycatcher",1973,6
"resident","Insectivores-Flycatchers","Puerto Rican Tody",1973,6
"resident","Insectivores-Flycatchers","Puerto Rican Pewee",1973,0
"resident","Insectivores-Elaenia","Carribean Elaenia",1973,0
"migrant",NA,"Merlin",1974,NA
"migrant",NA,"Bicknell's Thrush",1974,NA
"migrant",NA,"Ovenbird",1974,NA
"migrant",NA,"Worm-eating Warbler",1974,4
"migrant",NA,"Northern Waterthrush",1974,NA
"migrant",NA,"Blue-winged Warbler",1974,NA
"migrant",NA,"Black-and-white Warbler",1974,6
"migrant",NA,"Prothonotary Warbler",1974,NA
"migrant",NA,"Swainson's Warbler",1974,NA
"migrant",NA,"Kentucky Warbler",1974,NA
"migrant",NA,"Hooded Warbler",1974,NA
"migrant",NA,"American Redstart",1974,7
"migrant",NA,"Cape May Warbler",1974,NA
"migrant",NA,"Northern Parula",1974,NA
"migrant",NA,"Magnolia Warbler",1974,NA
"migrant",NA,"Black-throated Blue Warbler",1974,NA
"migrant",NA,"Prairie Warbler",1974,NA
"migrant",NA,"Baltimore Oriole",1974,NA
"migrant",NA,"Indigo Bunting",1974,NA
"migrant",NA,"Rose-breasted Grosbeak",1974,NA
"resident","Frugivores","Zenaida Dove",1974,0
"resident","Frugivores","Common Ground-dove",1974,1
"resident","Frugivores","Key West Quail Dov",1974,0
"resident","Frugivores","Pearly-eyed Thrasher",1974,5
"resident","Frugivores","Red-legged Thrush",1974,2
"resident","Frugivores","Antillean Euphonia",1974,0
"resident","Frugivores","Puerto Rican Stripe-headed Tanager",1974,2
"resident","Frugivores","Puerto Rican Bullfinch",1974,6
"resident","Frugivores","Black-faced Grassquit",1974,0
"resident","Frugivores","Yellow-faced Grassquit",1974,0
"resident","Frugivores","Northern Mockingbird",1974,0
"resident","Nectarivores","Antillean Mango",1974,1
"resident","Nectarivores","Puero Rican Emerald",1974,0
"resident","Nectarivores","Bananaquit",1974,33
"resident","Insectivores-Gleaners","Mangrove Cuckoo",1974,0
"resident","Insectivores-Gleaners","Puerto Rican Lizard Cuckoo",1974,0
"resident","Insectivores-Gleaners","Puerto Rican Vireo",1974,2
"resident","Insectivores-Gleaners","Adelaide's Warbler",1974,6
"resident","Insectivores-Gleaners","Black-cowled Oriole",1974,1
"resident","Insectivores-Gleaners","Troupial",1974,0
