"status","diet","common.name","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"migrant",NA,"American Redstart",6,7,3,6,NA,5,NA,4,5,8,9,5,4,3,4,1,13,21,19,30,11,9,29,21,7,34,18,16,24,16,23,14,9,7,10,10,11,8,2,5
"migrant",NA,"Baltimore Oriole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"migrant",NA,"Bicknell's Thrush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"migrant",NA,"Black-and-white Warbler",5,6,2,4,NA,4,NA,8,2,4,5,5,7,7,4,3,35,52,60,67,38,38,50,56,34,41,43,44,45,26,26,15,16,26,12,5,14,12,12,14
"migrant",NA,"Black-throated Blue Warbler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"migrant",NA,"Blue-winged Warbler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"migrant",NA,"Cape May Warbler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,9,0,0,0,3,0,0,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0
"migrant",NA,"Hooded Warbler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,8,4,1,2,3,2,0,2,2,2,5,0,0,2,3,0,1,0,13,3,2,0
"migrant",NA,"Indigo Bunting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"migrant",NA,"Kentucky Warbler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"migrant",NA,"Magnolia Warbler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,1,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0
"migrant",NA,"Merlin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"migrant",NA,"Northern Parula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,7,8,7,4,7,1,2,22,15,17,15,10,1,6,5,7,7,5,6,6,1,1
"migrant",NA,"Northern Waterthrush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"migrant",NA,"Ovenbird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,51,29,35,34,18,44,38,33,34,22,31,41,30,16,20,24,23,11,8,18,20,20,13
"migrant",NA,"Prairie Warbler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,4,12,4,10,5,2,6,21,19,16,13,10,12,13,8,7,4,1,4,6,1,3
"migrant",NA,"Prothonotary Warbler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,1,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,3,0,0,0,0
"migrant",NA,"Rose-breasted Grosbeak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2,0,0,2,0,12,12,0,0,4,1,1,0,0,1,3,0,0
"migrant",NA,"Swainson's Warbler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0
"migrant",NA,"Worm-eating Warbler",3,4,1,1,NA,4,NA,3,1,2,0,0,2,1,0,1,4,2,6,5,2,3,8,7,10,3,7,5,5,1,3,0,5,6,2,0,2,0,0,1
