"common.name","spp","spp.code","year","N","nets"
"Merlin","Falco columbarius","MERL",1989,1,7
"Bicknell's Thrush","Catharus bicknelli","BITH",1989,0,7
"Ovenbird","Seiurus aurocapilla","OVEN",1989,26,7
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1989,4,7
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1989,0,7
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1989,0,7
"Black-and-white Warbler","Mniotilta varia","BAWW",1989,35,7
"Prothonotary Warbler","Protonotaria citrea","PROW",1989,2,7
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1989,0,7
"Kentucky Warbler","Geothlypis formosa","KEWA",1989,0,7
"Hooded Warbler","Setophaga citrina","HOWA",1989,5,7
"American Redstart","Setophaga ruticilla","AMRE",1989,13,7
"Cape May Warbler","Setophaga tigrina","CMWA",1989,2,7
"Northern Parula","Setophaga americana","NOPA",1989,4,7
"Magnolia Warbler","Setophaga magnolia","MAWA",1989,0,7
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1989,0,7
"Prairie Warbler","Setophaga discolor","PRWA",1989,2,7
"Baltimore Oriole","Icterus galbula","BAOR",1989,0,7
"Indigo Bunting","Passerina cyanea","INBU",1989,0,7
"Rose-breasted Grosbeak","Pheucticus ludovicianus","RBGR",1989,0,7
"Merlin","Falco columbarius","MERL",1990,1,8
"Bicknell's Thrush","Catharus bicknelli","BITH",1990,0,8
"Ovenbird","Seiurus aurocapilla","OVEN",1990,51,8
"Worm-eating Warbler","Helmitheros vermivorum","WEWA",1990,2,8
"Northern Waterthrush","Parkesia noveboracensis","NOWA",1990,2,8
"Blue-winged Warbler","Vermivora cyanoptera","BWWA",1990,0,8
"Black-and-white Warbler","Mniotilta varia","BAWW",1990,52,8
"Prothonotary Warbler","Protonotaria citrea","PROW",1990,0,8
"Swainson's Warbler","Limnothlypis swainsonii","SWWA",1990,1,8
"Kentucky Warbler","Geothlypis formosa","KEWA",1990,0,8
"Hooded Warbler","Setophaga citrina","HOWA",1990,10,8
"American Redstart","Setophaga ruticilla","AMRE",1990,21,8
"Cape May Warbler","Setophaga tigrina","CMWA",1990,1,8
"Northern Parula","Setophaga americana","NOPA",1990,3,8
"Magnolia Warbler","Setophaga magnolia","MAWA",1990,0,8
"Black-throated Blue Warbler","Setophaga caerulescens","BTBW",1990,2,8
"Prairie Warbler","Setophaga discolor","PRWA",1990,0,8
"Baltimore Oriole","Icterus galbula","BAOR",1990,0,8
